school_year,building_code,dbn,location_name,location_code,address,borough,geographical_district_code,register,schools,schools_in_building,major_n,oth_n,nocrim_n,prop_n,vio_n,total_incidents,engroupa,rangea,avgofmajor_n,avgofoth_n,avgofnocrim_n,avgofprop_n,avgofvio_n,borough_name,cleaned_borough_name,postcode,latitude,longitude,community_board,council_district,census_tract,bin,bbl,nta,,,Total Rows:,6309
2015-16,X953,75M401,HOSPITAL SCHOOLS,M401,3450 EAST TREMONT AVENUE,X,8,78,4,HOSPITAL SCHOOLS - BROOKLYN| HOSPITAL SCHOOLS| HOSPITAL SCHOOLS - BRONX| HOME INSTRUCTION - BRONX| 3450 EAST TREMONT AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,0,2C,1-250,N/A,N/A,N/A,N/A,N/A,BRONX,BRONX,10465,40.832117,-73.82749,10,13,166,2079386,2055310021,SCHUYLERVILLE-THROGS NECK-EDGEWATER PARK,,,,
2015-16,X953,75KHOS,HOSPITAL SCHOOLS - BROOKLYN,K403,3450 EAST TREMONT AVENUE,X,8,N/A,4,HOSPITAL SCHOOLS - BROOKLYN| HOSPITAL SCHOOLS| HOSPITAL SCHOOLS - BRONX| HOME INSTRUCTION - BRONX| 3450 EAST TREMONT AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,BRONX,BRONX,10465,40.832117,-73.82749,10,13,166,2079386,2055310021,SCHUYLERVILLE-THROGS NECK-EDGEWATER PARK,,,,
2015-16,X905,10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,X696,2925 GOULDEN AVENUE,X,10,369,1,HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,0,0,0,0,0,0,3C,251-500,0.27,0.9,1.67,0.63,0.44,BRONX,BRONX,10468,40.873938,-73.895382,8,11,409,2015222,2032460002,VAN CORTLANDT VILLAGE,,,,
2015-16,X886,10X307,LUISA PINEIRO FUENTES SCHOOL OF SCIENCE AND DISCOV,X307,124 EAMES PLACE,X,10,393,1,LUISA PINEIRO FUENTES SCHOOL OF SCIENCE AND DISCOV,0,0,0,0,0,0,3C,251-500,0.27,0.9,1.67,0.63,0.44,BRONX,BRONX,10468,40.869296,-73.901525,8,14,26701,2115783,2032480062,VAN CORTLANDT VILLAGE,,,,
2015-16,X884,07X670,350 GERARD AVENUE CONSOLIDATED LOCATION,,350 GERARD AVENUE,X,7,880,2,COMMUNITY SCHOOL FOR SOCIAL JUSTICE | HEALTH OPPORTUNITIES HIGH SCHOOL | 350 GERARD AVENUE CONSOLIDATED LOCATION,3,10,16,2,8,39,5C,751-1000,0.38,1.71,2.38,0.98,0.82,BRONX,BRONX,10451,40.815938,-73.930386,1,8,63,2001027,2023440096,WEST CONCOURSE,,,,
2015-16,X884,12X682,HEALTH OPPORTUNITIES HIGH SCHOOL,X670,350 GERARD AVENUE,X,7,554,2,COMMUNITY SCHOOL FOR SOCIAL JUSTICE | HEALTH OPPORTUNITIES HIGH SCHOOL | 350 GERARD AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,0,4C,501-750,N/A,N/A,N/A,N/A,N/A,BRONX,BRONX,10451,40.815938,-73.930386,1,8,63,2001027,2023440096,WEST CONCOURSE,,,,
2015-16,X878,09X525,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,X682,1021 JENNINGS STREET,X,12,492,1,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,1,1,8,1,1,12,3C,251-500,0.27,0.9,1.67,0.63,0.44,BRONX,BRONX,10460,40.83087,-73.88626,3,17,157,2010945,2030130001,CROTONA PARK EAST,,,,
2015-16,X876,10X315,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,X525,1710 WEBSTER AVENUE,X,9,680,1,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,1,5,9,3,2,20,4C,501-750,0.28,1.11,1.74,0.75,0.53,BRONX,BRONX,10457,40.843588,-73.903236,3,15,165,2094564,2028980001,CLAREMONT-BATHGATE,,,,
2015-16,X859,10X308,P.S. 315 LAB SCHOOL,X315,2246 JEROME AVENUE,X,10,280,1,P.S. 315 LAB SCHOOL,0,0,0,0,0,0,3C,251-500,0.27,0.9,1.67,0.63,0.44,BRONX,BRONX,10453,40.857842,-73.904202,5,14,239,2014062,2031860049,FORDHAM SOUTH,,,,
2015-16,X852,10X246,BRONX DANCE ACADEMY SCHOOL,X308,3617 BAINBRIDGE AVENUE,X,10,277,1,BRONX DANCE ACADEMY SCHOOL,0,0,1,0,0,1,3C,251-500,0.27,0.9,1.67,0.63,0.44,BRONX,BRONX,10467,40.885116,-73.877679,7,11,431,2017858,2033290124,NORWOOD,,,,
